-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               aten::linalg_vector_norm         0.22%      89.932ms         0.42%     170.991ms       9.494us      71.678ms         0.18%      71.678ms       3.980us         18010  
autograd::engine::evaluate_function: torch::autograd...         0.11%      46.021ms         0.38%     156.734ms      15.928us       0.000us         0.00%     369.186ms      37.519us          9840  
                               hipExtModuleLaunchKernel         0.38%     154.789ms         0.38%     154.789ms       6.436us       0.000us         0.00%       0.000us       0.000us         24050  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.36%     148.374ms         0.36%     150.084ms       1.876ms       0.000us         0.00%       0.000us       0.000us            80  
## Call CompiledFxGraph fp6wt4t4dgtwpj2c3xjidd3vxnq6...         0.26%     108.762ms         0.35%     144.335ms     150.349us       0.000us         0.00%      41.520ms      43.250us           960  
## Call CompiledFxGraph fj5bxb2uujbrixxccodxisrilnpc...         0.20%      83.344ms         0.35%     143.744ms       1.797ms       0.000us         0.00%     600.757ms       7.509ms            80  
## Call CompiledFxGraph f25hmoyulivhos6inhntkluxzlvl...         0.20%      80.720ms         0.35%     142.237ms       1.778ms       0.000us         0.00%     579.327ms       7.242ms            80  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 41.174s
Self CUDA time total: 40.244s


=== sort by self_cuda_time_total ===

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.91%     787.655ms         2.33%     960.840ms      40.627us       15.234s        37.85%       15.234s     644.144us         23650  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        9.051s        22.49%        9.051s     113.134ms            80  
## Call CompiledFxGraph fyr2nq6mlyxonqwdp437bbwvi5r4...         0.00%       0.000us         0.00%       0.000us       0.000us        7.055s        17.53%        7.055s       7.349ms           960  
Cijk_Ailk_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT96x96...         0.00%       0.000us         0.00%       0.000us       0.000us        5.487s        13.63%        5.487s     723.888us          7580  
Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT128x8...         0.00%       0.000us         0.00%       0.000us       0.000us        3.448s         8.57%        3.448s       1.539ms          2240  
## Call CompiledFxGraph f2o6hymasih562kfjkjl3c4ncknq...         0.00%       0.000us         0.00%       0.000us       0.000us        3.371s         8.38%        3.371s       3.512ms           960  
## Call CompiledFxGraph fewfypjtmguqdjrg2ax2ptdsu4rk...         0.00%       0.000us         0.00%       0.000us       0.000us        3.171s         7.88%        3.171s       2.832ms          1120  
Cijk_Ailk_Bjlk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT64x96...         0.00%       0.000us         0.00%       0.000us       0.000us        2.988s         7.42%        2.988s     939.616us          3180  
                            Optimizer.step#NorMuon.step         0.00%       0.000us         0.00%       0.000us       0.000us        2.863s         7.12%        2.863s     286.341ms            10  
                           triton_tem_fused_mm_t_view_1         0.05%      21.374ms         0.07%      30.101ms      26.875us        2.710s         6.73%        2.710s       2.419ms          1120  
                           triton_tem_fused_mm_t_view_1         0.00%       0.000us         0.00%       0.000us       0.000us        2.710s         6.73%        2.710s       2.419ms          1120  
                                            aten::copy_         0.04%      16.924ms         0.14%      58.027ms      14.616us        2.490s         6.19%        2.490s     627.307us          3970  
                                              aten::mul         0.17%      68.912ms         0.30%     124.036ms       7.845us        1.853s         4.60%        1.853s     117.213us         15810  
                       DaoAILab::_causal_conv1d_bwd_cpp         0.24%      98.729ms         0.25%     104.613ms     108.972us        1.828s         4.54%        1.828s       1.904ms           960  
void causal_conv1d_channellast_bwd_kernel<Causal_con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.828s         4.54%        1.828s       1.904ms           960  
## Call CompiledFxGraph f7ozq7duz6rb3bh3ewilir6zajec...         0.00%       0.000us         0.00%       0.000us       0.000us        1.549s         3.85%        1.549s       1.613ms           960  
                                              aten::sub         0.00%       1.660ms         0.01%       2.567ms      16.043us        1.507s         3.74%        1.507s       9.416ms           160  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us        1.507s         3.74%        1.507s       9.416ms           160  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.471s         3.66%        1.471s       9.194ms           160  
## Call CompiledFxGraph f25v7jwuvyzkbdcdom2tokznj2yz...         0.00%       0.000us         0.00%       0.000us       0.000us        1.323s         3.29%        1.323s       1.181ms          1120  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.221s         3.03%        1.221s     878.674us          1390  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.212s         3.01%        1.212s     871.862us          1390  
## Call CompiledFxGraph fkjbjyjmsaltxpshse7z7m3ojsi7...         0.00%       0.000us         0.00%       0.000us       0.000us        1.178s         2.93%        1.178s      14.724ms            80  
triton_poi_fused__unsafe_view_cat_mul_silu_silu_back...         0.06%      25.128ms         0.09%      36.319ms      32.427us        1.175s         2.92%        1.175s       1.049ms          1120  
triton_poi_fused__unsafe_view_cat_mul_silu_silu_back...         0.00%       0.000us         0.00%       0.000us       0.000us        1.175s         2.92%        1.175s       1.049ms          1120  
                                             aten::add_         0.14%      57.815ms         0.29%     117.398ms       9.475us        1.172s         2.91%        1.172s      94.591us         12390  
## Call CompiledFxGraph fj7s2hbbdzuac4zgfma6sy2z2r7l...         0.00%       0.000us         0.00%       0.000us       0.000us        1.106s         2.75%        1.106s      13.822ms            80  
Cijk_Ailk_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT64x96...         0.00%       0.000us         0.00%       0.000us       0.000us        1.096s         2.72%        1.096s       1.442ms           760  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     822.900ms         2.04%     822.900ms       2.057ms           400  
                                              aten::div         0.16%      67.123ms         0.32%     133.376ms       7.276us     801.539ms         1.99%     801.539ms      43.728us         18330  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     801.312ms         1.99%     801.312ms      65.897us         12160  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     742.925ms         1.85%     742.925ms       4.643ms           160  
                                              aten::exp         0.00%     783.796us         0.00%       1.165ms      14.565us     741.889ms         1.84%     741.889ms       9.274ms            80  
                                             aten::exp_         0.00%     564.601us         0.00%       1.012ms      12.651us     729.103ms         1.81%     729.103ms       9.114ms            80  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     702.410ms         1.75%     702.410ms     118.251us          5940  
                       triton_tem_fused_cat_mm_t_view_1         0.04%      17.576ms         0.06%      24.248ms      25.259us     681.778ms         1.69%     681.778ms     710.186us           960  
                       triton_tem_fused_cat_mm_t_view_1         0.00%       0.000us         0.00%       0.000us       0.000us     681.778ms         1.69%     681.778ms     710.186us           960  
## Call CompiledFxGraph ftyssnehntynueijjpv4kuhssqut...         0.00%       0.000us         0.00%       0.000us       0.000us     651.815ms         1.62%     651.815ms     678.974us           960  
## Call CompiledFxGraph fj5bxb2uujbrixxccodxisrilnpc...         0.00%       0.000us         0.00%       0.000us       0.000us     606.472ms         1.51%     606.472ms       7.581ms            80  
Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT96x12...         0.00%       0.000us         0.00%       0.000us       0.000us     605.099ms         1.50%     605.099ms     630.312us           960  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 41.174s
Self CUDA time total: 40.244s
